id,firstname,surname,born,bornYear,bornMonth,bornDay,died,diedYear,diedMonth,diedDay,ageDied,ageCurrent,ageCurrentBin,age,ageBin,bornCountry,bornCountryCode,bornCountryClean,bornCountryBin,bornCity,diedCountry,diedCountryCode,diedCity,gender,year,category,timesPrizeWon,timesPrizeWonOther,overallMotivation,share,prizeShare,motivation,workPublishYear,yearsSincePublishedBin,name,city,country,countryClean,URLpage,URLpicture
202,Otto,Hahn,1879-03-08,1879,Mar,8,28/7/1968,1968,Jul,28,89,,Deceased,65,61-70,Germany,DE,Germany,Germany,Frankfurt-on-the-Main,West Germany (now Germany),DE,Göttingen,male,1944,chemistry,1,,,1,1/1,"""for his discovery of the fission of heavy nuclei""",1939,<=10,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany,Germany,https://www.nobelprize.org/prizes/chemistry/1944/Hahn,https://www.nobelprize.org/images/hahn-13028-portrait-mini-2x.jpg
203,Artturi,Virtanen,1895-01-15,1895,Jan,15,11/11/1973,1973,Nov,11,78,,Deceased,50,41-50,Russian Empire (now Finland),FI,Finland,Other (<20 Laureates),Helsinki,Finland,FI,Helsinki,male,1945,chemistry,1,,,1,1/1,"""for his research and inventions in agricultural and nutrition chemistry especially for his fodder preservation method""",1932,11-20,University of Helsinki,Helsinki,Finland,Finland,https://www.nobelprize.org/prizes/chemistry/1945/Virtanen,https://www.nobelprize.org/images/virtanen-13034-portrait-mini-2x.jpg
204,James B.,Sumner,1887-11-19,1887,Nov,19,12/8/1955,1955,Aug,12,68,,Deceased,59,51-60,USA,US,USA,USA,Canton MA,USA,US,Buffalo NY,male,1946,chemistry,1,,,2,1/2,"""for his discovery that enzymes can be crystallized""",1926,11-20,Cornell University,Ithaca NY,USA,USA,https://www.nobelprize.org/prizes/chemistry/1946/Sumner,https://www.nobelprize.org/images/sumner-13043-portrait-mini-2x.jpg
205,John H.,Northrop,1891-07-05,1891,Jul,5,27/5/1987,1987,May,27,96,,Deceased,55,51-60,USA,US,USA,USA,Yonkers NY,USA,US,Wickenberg AZ,male,1946,chemistry,1,,,4,1/4,"""for their preparation of enzymes and virus proteins in a pure form""",1929,11-20,Rockefeller Institute for Medical Research,Princeton NJ,USA,USA,https://www.nobelprize.org/prizes/chemistry/1946/Northrop,https://www.nobelprize.org/images/northrop-13041-portrait-mini-2x.jpg
206,Wendell M.,Stanley,16/8/1904,1904,Aug,16,15/6/1971,1971,Jun,15,67,,Deceased,42,41-50,USA,US,USA,USA,Ridgeville IN,Spain,ES,Salamanca,male,1946,chemistry,1,,,4,1/4,"""for their preparation of enzymes and virus proteins in a pure form""",1936,<=10,Rockefeller Institute for Medical Research,Princeton NJ,USA,USA,https://www.nobelprize.org/prizes/chemistry/1946/Stanley,https://www.nobelprize.org/images/stanley-13042-portrait-mini-2x.jpg
207,Sir Robert,Robinson,1886-09-13,1886,Sep,13,8/2/1975,1975,Feb,8,89,,Deceased,61,61-70,UK,GB,UK,UK,Rufford near Chesterfield,UK,GB,Great Missenden,male,1947,chemistry,1,,,1,1/1,"""for his investigations on plant products of biological importance especially the alkaloids""",1917,21-30,University of Oxford,Oxford,UK,UK,https://www.nobelprize.org/prizes/chemistry/1947/Robinson,https://www.nobelprize.org/images/robinson-13049-portrait-mini-2x.jpg
208,Arne,Tiselius,10/8/1902,1902,Aug,10,29/10/1971,1971,Oct,29,69,,Deceased,46,41-50,Sweden,SE,Sweden,Sweden,Stockholm,Sweden,SE,Uppsala,male,1948,chemistry,1,,,1,1/1,"""for his research on electrophoresis and adsorption analysis especially for his discoveries concerning the complex nature of the serum proteins""",1937,11-20,Uppsala University,Uppsala,Sweden,Sweden,https://www.nobelprize.org/prizes/chemistry/1948/Tiselius,https://www.nobelprize.org/images/tiselius-13057-portrait-mini-2x.jpg
209,William F.,Giauque,1895-05-12,1895,May,12,28/3/1982,1982,Mar,28,87,,Deceased,54,51-60,Canada,CA,Canada,Canada,Niagara Falls,USA,US,Berkeley CA,male,1949,chemistry,1,,,1,1/1,"""for his contributions in the field of chemical thermodynamics particularly concerning the behaviour of substances at extremely low temperatures""",1933,11-20,University of California,Berkeley CA,USA,USA,https://www.nobelprize.org/prizes/chemistry/1949/Giauque,https://www.nobelprize.org/images/giauque-13061-portrait-mini-2x.jpg
210,Otto,Diels,1876-01-23,1876,Jan,23,7/3/1954,1954,Mar,7,78,,Deceased,74,71-80,Germany,DE,Germany,Germany,Hamburg,West Germany (now Germany),DE,Kiel,male,1950,chemistry,1,,,2,1/2,"""for their discovery and development of the diene synthesis""",1928,21-30,Kiel University,Kiel,Germany,Germany,https://www.nobelprize.org/prizes/chemistry/1950/Diels,https://www.nobelprize.org/images/diels-13068-portrait-mini-2x.jpg
211,Kurt,Alder,10/7/1902,1902,Jul,10,20/6/1958,1958,Jun,20,56,,Deceased,48,41-50,Prussia (now Poland),PL,Poland,Poland,Königshütte (now Chorzów),West Germany (now Germany),DE,Cologne,male,1950,chemistry,1,,,2,1/2,"""for their discovery and development of the diene synthesis""",1928,21-30,Cologne University,Cologne,Germany,Germany,https://www.nobelprize.org/prizes/chemistry/1950/Alder,https://www.nobelprize.org/images/alder-13067-portrait-mini-2x.jpg
212,Edwin M.,McMillan,18/9/1907,1907,Sep,18,7/9/1991,1991,Sep,7,84,,Deceased,44,41-50,USA,US,USA,USA,Redondo Beach CA,USA,US,El Cerrito CA,male,1951,chemistry,1,,,2,1/2,"""for their discoveries in the chemistry of the transuranium elements""",1940,11-20,University of California,Berkeley CA,USA,USA,https://www.nobelprize.org/prizes/chemistry/1951/McMillan,https://www.nobelprize.org/images/mcmillan-13075-portrait-mini-2x.jpg
213,Glenn T.,Seaborg,19/4/1912,1912,Apr,19,25/2/1999,1999,Feb,25,87,,Deceased,39,<=40,USA,US,USA,USA,Ishpeming MI,USA,US,Lafayette CA,male,1951,chemistry,1,,,2,1/2,"""for their discoveries in the chemistry of the transuranium elements""",1946,<=10,University of California,Berkeley CA,USA,USA,https://www.nobelprize.org/prizes/chemistry/1951/Seaborg,https://www.nobelprize.org/images/seaborg-13076-portrait-mini-2x.jpg
214,Archer J.P.,Martin,1/3/1910,1910,Mar,1,28/7/2002,2002,Jul,28,92,,Deceased,42,41-50,UK,GB,UK,UK,London,UK,GB,Llangarron,male,1952,chemistry,1,,,2,1/2,"""for their invention of partition chromatography""",1941,11-20,National Institute for Medical Research,London,UK,UK,https://www.nobelprize.org/prizes/chemistry/1952/Martin,https://www.nobelprize.org/images/martin-13082-portrait-mini-2x.jpg
215,Richard L.M.,Synge,28/10/1914,1914,Oct,28,18/8/1994,1994,Aug,18,80,,Deceased,38,<=40,UK,GB,UK,UK,Liverpool,UK,GB,Norwich,male,1952,chemistry,1,,,2,1/2,"""for their invention of partition chromatography""",1941,11-20,Rowett Research Institute,Bucksburn (Scotland),UK,UK,https://www.nobelprize.org/prizes/chemistry/1952/Synge,https://www.nobelprize.org/images/synge-13083-portrait-mini-2x.jpg
216,Hermann,Staudinger,1881-03-23,1881,Mar,23,8/9/1965,1965,Sep,8,84,,Deceased,72,71-80,Germany,DE,Germany,Germany,Worms,West Germany (now Germany),DE,Freiburg im Breisgau,male,1953,chemistry,1,,,1,1/1,"""for his discoveries in the field of macromolecular chemistry""",1919,31-40,University of Freiburg,Breisgau,Germany,Germany,https://www.nobelprize.org/prizes/chemistry/1953/Staudinger,https://www.nobelprize.org/images/staudinger-13089-portrait-mini-2x.jpg
217,Linus,Pauling,28/2/1901,1901,Feb,28,19/8/1994,1994,Aug,19,93,,Deceased,61,61-70,USA,US,USA,USA,Portland OR,USA,US,Big Sur CA,male,1962,peace,2,1954 Chemistry,,1,1/1,"""for his fight against the nuclear arms race between East and West""",,Unknown,California Institute of Technology (Caltech),Pasadena CA,USA,USA,https://www.nobelprize.org/prizes/peace/1962/Pauling,https://www.nobelprize.org/images/pauling-13157-portrait-mini-2x.jpg
217,Linus,Pauling,28/2/1901,1901,Feb,28,19/8/1994,1994,Aug,19,93,,Deceased,53,51-60,USA,US,USA,USA,Portland OR,USA,US,Big Sur CA,male,1954,chemistry,2,1962 Peace,,1,1/1,"""for his research into the nature of the chemical bond and its application to the elucidation of the structure of complex substances""",1951,<=10,California Institute of Technology (Caltech),Pasadena CA,USA,USA,https://www.nobelprize.org/prizes/chemistry/1954/Pauling,https://www.nobelprize.org/images/pauling-13095-portrait-mini-2x.jpg
218,Vincent,du Vigneaud,18/5/1901,1901,May,18,11/12/1978,1978,Dec,11,77,,Deceased,54,51-60,USA,US,USA,USA,Chicago IL,USA,US,White Plains NY,male,1955,chemistry,1,,,1,1/1,"""for his work on biochemically important sulphur compounds especially for the first synthesis of a polypeptide hormone""",1953,<=10,Cornell University,Ithaca NY,USA,USA,https://www.nobelprize.org/prizes/chemistry/1955/Vigneaud,https://www.nobelprize.org/images/vigneaud-13103-portrait-mini-2x.jpg
219,Sir Cyril,Hinshelwood,1897-05-19,1897,May,19,9/10/1967,1967,Oct,9,70,,Deceased,59,51-60,UK,GB,UK,UK,London,UK,GB,London,male,1956,chemistry,1,,,2,1/2,"""for their researches into the mechanism of chemical reactions""",1930,21-30,University of Oxford,Oxford,UK,UK,https://www.nobelprize.org/prizes/chemistry/1956/Hinshelwood,https://www.nobelprize.org/images/hinshelwood-13108-portrait-mini-2x.jpg
220,Nikolay,Semenov,1896-04-03,1896,Apr,3,25/9/1986,1986,Sep,25,90,,Deceased,60,51-60,Russia,RU,Russia,Russia,Saratov,USSR (now Russia),RU,Moscow,male,1956,chemistry,1,,,2,1/2,"""for their researches into the mechanism of chemical reactions""",1935,21-30,Institute for Chemical Physics of the Academy of Sciences of the USSR,Moscow,USSR (now Russia),Russia,https://www.nobelprize.org/prizes/chemistry/1956/Semenov,https://www.nobelprize.org/images/semenov-13109-portrait-mini-2x.jpg
221,Lord,Todd,2/10/1907,1907,Oct,2,10/1/1997,1997,Jan,10,90,,Deceased,50,41-50,Scotland,GB,UK,UK,Glasgow,UK,GB,Cambridge,male,1957,chemistry,1,,,1,1/1,"""for his work on nucleotides and nucleotide co-enzymes""",1945,11-20,University of Cambridge,Cambridge,UK,UK,https://www.nobelprize.org/prizes/chemistry/1957/Todd,https://www.nobelprize.org/images/todd-13117-portrait-mini-2x.jpg
222,Frederick,Sanger,13/8/1918,1918,Aug,13,19/11/2013,2013,Nov,19,95,,Deceased,40,<=40,UK,GB,UK,UK,Rendcombe,UK,GB,Cambridge,male,1958,chemistry,2,1980 Chemistry,,1,1/1,"""for his work on the structure of proteins especially that of insulin""",1945,11-20,University of Cambridge,Cambridge,UK,UK,https://www.nobelprize.org/prizes/chemistry/1958/Sanger,https://www.nobelprize.org/images/sanger-13123-portrait-mini-2x.jpg
222,Frederick,Sanger,13/8/1918,1918,Aug,13,19/11/2013,2013,Nov,19,95,,Deceased,62,61-70,UK,GB,UK,UK,Rendcombe,UK,GB,Cambridge,male,1980,chemistry,2,1958 Chemistry,,4,1/4,"""for their contributions concerning the determination of base sequences in nucleic acids""",1977,<=10,MRC Laboratory of Molecular Biology,Cambridge,UK,UK,https://www.nobelprize.org/prizes/chemistry/1980/Sanger,https://www.nobelprize.org/images/sanger-13323-portrait-mini-2x.jpg
223,Jaroslav,Heyrovsky,1890-12-20,1890,Dec,20,27/3/1967,1967,Mar,27,77,,Deceased,69,61-70,Austria-Hungary (now Czech Republic),CZ,Czech Republic,Other (<20 Laureates),Prague,Czechoslovakia (now Czech Republic),CZ,Prague,male,1959,chemistry,1,,,1,1/1,"""for his discovery and development of the polarographic methods of analysis""",1924,31-40,Polarographic Institute of the Czechoslovak Academy of Science,Prague,Czechoslovakia (now Czech Republic),Czech Republic,https://www.nobelprize.org/prizes/chemistry/1959/Heyrovsky,https://www.nobelprize.org/images/heyrovsky-13132-portrait-mini-2x.jpg
224,Willard F.,Libby,17/12/1908,1908,Dec,17,8/9/1980,1980,Sep,8,72,,Deceased,52,51-60,USA,US,USA,USA,Grand Valley CO,USA,US,Los Angeles CA,male,1960,chemistry,1,,,1,1/1,"""for his method to use carbon-14 for age determination in archaeology geology geophysics and other branches of science""",1949,11-20,University of California,Los Angeles CA,USA,USA,https://www.nobelprize.org/prizes/chemistry/1960/Libby,https://www.nobelprize.org/images/libby-13139-portrait-mini-2x.jpg
225,Melvin,Calvin,8/4/1911,1911,Apr,8,8/1/1997,1997,Jan,8,86,,Deceased,50,41-50,USA,US,USA,USA,St. Paul MN,USA,US,Berkeley CA,male,1961,chemistry,1,,,1,1/1,"""for his research on the carbon dioxide assimilation in plants""",1950,11-20,University of California,Berkeley CA,USA,USA,https://www.nobelprize.org/prizes/chemistry/1961/Calvin,https://www.nobelprize.org/images/calvin-13145-portrait-mini-2x.jpg
226,Max F.,Perutz,19/5/1914,1914,May,19,6/2/2002,2002,Feb,6,88,,Deceased,48,41-50,Austria,AT,Austria,Other (<20 Laureates),Vienna,UK,GB,Cambridge,male,1962,chemistry,1,,,2,1/2,"""for their studies of the structures of globular proteins""",1960,<=10,MRC Laboratory of Molecular Biology,Cambridge,UK,UK,https://www.nobelprize.org/prizes/chemistry/1962/Perutz,https://www.nobelprize.org/images/perutz-13152-portrait-mini-2x.jpg
227,John C.,Kendrew,24/3/1917,1917,Mar,24,23/8/1997,1997,Aug,23,80,,Deceased,45,41-50,UK,GB,UK,UK,Oxford,UK,GB,Cambridge,male,1962,chemistry,1,,,2,1/2,"""for their studies of the structures of globular proteins""",1958,<=10,MRC Laboratory of Molecular Biology,Cambridge,UK,UK,https://www.nobelprize.org/prizes/chemistry/1962/Kendrew,https://www.nobelprize.org/images/kendrew-13151-portrait-mini-2x.jpg
228,Karl,Ziegler,1898-11-26,1898,Nov,26,12/8/1973,1973,Aug,12,75,,Deceased,65,61-70,Germany,DE,Germany,Germany,Helsa,West Germany (now Germany),DE,Mülheim,male,1963,chemistry,1,,,2,1/2,"""for their discoveries in the field of the chemistry and technology of high polymers""",1955,<=10,Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Mülheim/Ruhr,Germany,Germany,https://www.nobelprize.org/prizes/chemistry/1963/Ziegler,https://www.nobelprize.org/images/ziegler-13160-portrait-mini-2x.jpg
229,Giulio,Natta,26/2/1903,1903,Feb,26,2/5/1979,1979,May,2,76,,Deceased,60,51-60,Italy,IT,Italy,Other (<20 Laureates),Imperia,Italy,IT,Bergamo,male,1963,chemistry,1,,,2,1/2,"""for their discoveries in the field of the chemistry and technology of high polymers""",1955,<=10,Institute of Technology,Milan,Italy,Italy,https://www.nobelprize.org/prizes/chemistry/1963/Natta,https://www.nobelprize.org/images/natta-13159-portrait-mini-2x.jpg
230,Dorothy Crowfoot,Hodgkin,12/5/1910,1910,May,12,29/7/1994,1994,Jul,29,84,,Deceased,54,51-60,Egypt,EG,Egypt,Other (<20 Laureates),Cairo,UK,GB,Shipston-on-Stour,female,1964,chemistry,1,,,1,1/1,"""for her determinations by X-ray techniques of the structures of important biochemical substances""",1956,<=10,University of Oxford Royal Society,Oxford,UK,UK,https://www.nobelprize.org/prizes/chemistry/1964/Hodgkin,https://www.nobelprize.org/images/hodgkin-13170-portrait-mini-2x.jpg
231,Robert B.,Woodward,10/4/1917,1917,Apr,10,8/7/1979,1979,Jul,8,62,,Deceased,48,41-50,USA,US,USA,USA,Boston MA,USA,US,Cambridge MA,male,1965,chemistry,1,,,1,1/1,"""for his outstanding achievements in the art of organic synthesis""",1952,11-20,Harvard University,Cambridge MA,USA,USA,https://www.nobelprize.org/prizes/chemistry/1965/Woodward,https://www.nobelprize.org/images/woodward-13178-portrait-mini-2x.jpg
232,Robert S.,Mulliken,1896-06-07,1896,Jun,7,31/10/1986,1986,Oct,31,90,,Deceased,70,61-70,USA,US,USA,USA,Newburyport MA,USA,US,Arlington VA,male,1966,chemistry,1,,,1,1/1,"""for his fundamental work concerning chemical bonds and the electronic structure of molecules by the molecular orbital method""",1955,11-20,University of Chicago,Chicago IL,USA,USA,https://www.nobelprize.org/prizes/chemistry/1966/Mulliken,https://www.nobelprize.org/images/mulliken-13187-portrait-mini-2x.jpg
233,Manfred,Eigen,9/5/1927,1927,May,9,6/2/2019,2019,Feb,6,92,,Deceased,40,<=40,Germany,DE,Germany,Germany,Bochum,Germany,DE,Göttingen,male,1967,chemistry,1,,,2,1/2,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",1954,11-20,Max-Planck-Institut für Physikalische Chemie,Göttingen,Germany,Germany,https://www.nobelprize.org/prizes/chemistry/1967/Eigen,https://www.nobelprize.org/images/eigen-13192-portrait-mini-2x.jpg
234,Ronald G.W.,Norrish,1897-11-09,1897,Nov,9,7/6/1978,1978,Jun,7,81,,Deceased,70,61-70,UK,GB,UK,UK,Cambridge,UK,GB,Cambridge,male,1967,chemistry,1,,,4,1/4,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",1949,11-20,Institute of Physical Chemistry,Cambridge,UK,UK,https://www.nobelprize.org/prizes/chemistry/1967/Norrish,https://www.nobelprize.org/images/norrish-13193-portrait-mini-2x.jpg
235,George,Porter,6/12/1920,1920,Dec,6,31/8/2002,2002,Aug,31,82,,Deceased,47,41-50,UK,GB,UK,UK,Stainforth,UK,GB,Canterbury,male,1967,chemistry,1,,,4,1/4,"""for their studies of extremely fast chemical reactions effected by disturbing the equilibrium by means of very short pulses of energy""",1949,11-20,Royal Institution of Great Britain,London,UK,UK,https://www.nobelprize.org/prizes/chemistry/1967/Porter,https://www.nobelprize.org/images/porter-13194-portrait-mini-2x.jpg
236,Lars,Onsager,27/11/1903,1903,Nov,27,5/10/1976,1976,Oct,5,73,,Deceased,65,61-70,Norway,NO,Norway,Other (<20 Laureates),Kristiania (now Oslo),USA,US,Coral Gables FL,male,1968,chemistry,1,,,1,1/1,"""for the discovery of the reciprocal relations bearing his name which are fundamental for the thermodynamics of irreversible processes""",1931,31-40,Yale University,New Haven CT,USA,USA,https://www.nobelprize.org/prizes/chemistry/1968/Onsager,https://www.nobelprize.org/images/onsager-13200-portrait-mini-2x.jpg
237,Derek,Barton,8/9/1918,1918,Sep,8,16/3/1998,1998,Mar,16,80,,Deceased,51,51-60,UK,GB,UK,UK,Gravesend,USA,US,College Station TX,male,1969,chemistry,1,,,2,1/2,"""for their contributions to the development of the concept of conformation and its application in chemistry""",1956,11-20,Imperial College,London,UK,UK,https://www.nobelprize.org/prizes/chemistry/1969/Barton,https://www.nobelprize.org/images/barton-13207-portrait-mini-2x.jpg
238,Odd,Hassel,1897-05-17,1897,May,17,11/5/1981,1981,May,11,84,,Deceased,72,71-80,Norway,NO,Norway,Other (<20 Laureates),Kristiania (now Oslo),Norway,NO,Oslo,male,1969,chemistry,1,,,2,1/2,"""for their contributions to the development of the concept of conformation and its application in chemistry""",1947,21-30,University of Oslo,Oslo,Norway,Norway,https://www.nobelprize.org/prizes/chemistry/1969/Hassel,https://www.nobelprize.org/images/hassel-13208-portrait-mini-2x.jpg
239,Luis,Leloir,6/9/1906,1906,Sep,6,2/12/1987,1987,Dec,2,81,,Deceased,64,61-70,France,FR,France,France,Paris,Argentina,AR,Buenos Aires,male,1970,chemistry,1,,,1,1/1,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",1955,11-20,Institute for Biochemical Research,Buenos Aires,Argentina,Argentina,https://www.nobelprize.org/prizes/chemistry/1970/Leloir,https://www.nobelprize.org/images/leloir-13217-portrait-mini-2x.jpg
240,Gerhard,Herzberg,25/12/1904,1904,Dec,25,3/3/1999,1999,Mar,3,95,,Deceased,67,61-70,Germany,DE,Germany,Germany,Hamburg,Canada,CA,Ottawa,male,1971,chemistry,1,,,1,1/1,"""for his contributions to the knowledge of electronic structure and geometry of molecules particularly free radicals""",1956,11-20,National Research Council of Canada,Ottawa,Canada,Canada,https://www.nobelprize.org/prizes/chemistry/1971/Herzberg,https://www.nobelprize.org/images/herzberg-13226-portrait-mini-2x.jpg
241,Christian,Anfinsen,26/3/1916,1916,Mar,26,14/5/1995,1995,May,14,79,,Deceased,56,51-60,USA,US,USA,USA,Monessen PA,USA,US,Randallstown MD,male,1972,chemistry,1,,,2,1/2,"""for his work on ribonuclease especially concerning the connection between the amino acid sequence and the biologically active conformation""",1961,11-20,National Institutes of Health,Bethesda MD,USA,USA,https://www.nobelprize.org/prizes/chemistry/1972/Anfinsen,https://www.nobelprize.org/images/anfinsen-13232-portrait-mini-2x.jpg
242,Stanford,Moore,4/9/1913,1913,Sep,4,23/8/1982,1982,Aug,23,69,,Deceased,59,51-60,USA,US,USA,USA,Chicago IL,USA,US,New York NY,male,1972,chemistry,1,,,4,1/4,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",1958,11-20,Rockefeller University,New York NY,USA,USA,https://www.nobelprize.org/prizes/chemistry/1972/Moore,https://www.nobelprize.org/images/moore-13233-portrait-mini-2x.jpg
243,William H.,Stein,25/6/1911,1911,Jun,25,2/2/1980,1980,Feb,2,69,,Deceased,61,61-70,USA,US,USA,USA,New York NY,USA,US,New York NY,male,1972,chemistry,1,,,4,1/4,"""for their contribution to the understanding of the connection between chemical structure and catalytic activity of the active centre of the ribonuclease molecule""",1958,11-20,Rockefeller University,New York NY,USA,USA,https://www.nobelprize.org/prizes/chemistry/1972/Stein,https://www.nobelprize.org/images/stein-13234-portrait-mini-2x.jpg
244,Ernst Otto,Fischer,10/11/1918,1918,Nov,10,23/7/2007,2007,Jul,23,89,,Deceased,55,51-60,Germany,DE,Germany,Germany,Munich,Germany,DE,Munich,male,1973,chemistry,1,,,2,1/2,"""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds""",1952,21-30,Technical University,Munich,Germany,Germany,https://www.nobelprize.org/prizes/chemistry/1973/Fischer,https://www.nobelprize.org/images/fischer-13243-portrait-mini-2x.jpg
245,Geoffrey,Wilkinson,14/7/1921,1921,Jul,14,26/9/1996,1996,Sep,26,75,,Deceased,52,51-60,UK,GB,UK,UK,Todmorden,UK,GB,London,male,1973,chemistry,1,,,2,1/2,"""for their pioneering work performed independently on the chemistry of the organometallic so called sandwich compounds""",1952,21-30,Imperial College,London,UK,UK,https://www.nobelprize.org/prizes/chemistry/1973/Wilkinson,https://www.nobelprize.org/images/wilkinson-13244-portrait-mini-2x.jpg
246,Paul J.,Flory,19/6/1910,1910,Jun,19,8/9/1985,1985,Sep,8,75,,Deceased,64,61-70,USA,US,USA,USA,Sterling IL,USA,US,Big Sur CA,male,1974,chemistry,1,,,1,1/1,"""for his fundamental achievements both theoretical and experimental in the physical chemistry of the macromolecules""",1936,31-40,Stanford University,Stanford CA,USA,USA,https://www.nobelprize.org/prizes/chemistry/1974/Flory,https://www.nobelprize.org/images/flory-13255-portrait-mini-2x.jpg
247,John,Cornforth,7/9/1917,1917,Sep,7,8/12/2013,2013,Dec,8,96,,Deceased,58,51-60,Australia,AU,Australia,Other (<20 Laureates),Sydney,,,,male,1975,chemistry,1,,,2,1/2,"""for his work on the stereochemistry of enzyme-catalyzed reactions""",1962,11-20,University of Sussex,Brighton,UK,UK,https://www.nobelprize.org/prizes/chemistry/1975/Cornforth,https://www.nobelprize.org/images/cornforth-13267-portrait-mini-2x.jpg
248,Vladimir,Prelog,23/7/1906,1906,Jul,23,7/1/1998,1998,Jan,7,92,,Deceased,69,61-70,Austria-Hungary (now Bosnia and Herzegovina),BA,Bosnia and Herzegovina,Other (<20 Laureates),Sarajevo,Switzerland,CH,Zurich,male,1975,chemistry,1,,,2,1/2,"""for his research into the stereochemistry of organic molecules and reactions""",1956,11-20,Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Zurich,Switzerland,Switzerland,https://www.nobelprize.org/prizes/chemistry/1975/Prelog,https://www.nobelprize.org/images/prelog-13268-portrait-mini-2x.jpg
249,William,Lipscomb,9/12/1919,1919,Dec,9,14/4/2011,2011,Apr,14,92,,Deceased,57,51-60,USA,US,USA,USA,Cleveland OH,USA,US,Cambridge MA,male,1976,chemistry,1,,,1,1/1,"""for his studies on the structure of boranes illuminating problems of chemical bonding""",1961,11-20,Harvard University,Cambridge MA,USA,USA,https://www.nobelprize.org/prizes/chemistry/1976/Lipscomb,https://www.nobelprize.org/images/lipscomb-13279-portrait-mini-2x.jpg
250,Ilya,Prigogine,25/1/1917,1917,Jan,25,28/5/2003,2003,May,28,86,,Deceased,60,51-60,Russia,RU,Russia,Russia,Moscow,Belgium,BE,Brussels,male,1977,chemistry,1,,,1,1/1,"""for his contributions to non-equilibrium thermodynamics particularly the theory of dissipative structures""",1969,<=10,Université Libre de Bruxelles,Brussels,Belgium,Belgium,https://www.nobelprize.org/prizes/chemistry/1977/Prigogine,https://www.nobelprize.org/images/prigogine-13288-portrait-mini-2x.jpg
251,Peter,Mitchell,29/9/1920,1920,Sep,29,10/4/1992,1992,Apr,10,72,,Deceased,58,51-60,UK,GB,UK,UK,Mitcham,UK,GB,Bodmin,male,1978,chemistry,1,,,1,1/1,"""for his contribution to the understanding of biological energy transfer through the formulation of the chemiosmotic theory""",1961,11-20,Glynn Research Laboratories,Bodmin,UK,UK,https://www.nobelprize.org/prizes/chemistry/1978/Mitchell,https://www.nobelprize.org/images/mitchell-13299-portrait-mini-2x.jpg
252,Herbert C.,Brown,22/5/1912,1912,May,22,19/12/2004,2004,Dec,19,92,,Deceased,67,61-70,UK,GB,UK,UK,London,USA,US,Lafayette IN,male,1979,chemistry,1,,,2,1/2,"""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis""",1958,21-30,Purdue University,West Lafayette IN,USA,USA,https://www.nobelprize.org/prizes/chemistry/1979/Brown,https://www.nobelprize.org/images/brown-13310-portrait-mini-2x.jpg
253,Georg,Wittig,1897-06-16,1897,Jun,16,26/8/1987,1987,Aug,26,90,,Deceased,82,>80,Germany,DE,Germany,Germany,Berlin,West Germany (now Germany),DE,Heidelberg,male,1979,chemistry,1,,,2,1/2,"""for their development of the use of boron- and phosphorus-containing compounds respectively into important reagents in organic synthesis""",1953,21-30,University of Heidelberg,Heidelberg,Germany,Germany,https://www.nobelprize.org/prizes/chemistry/1979/Wittig,https://www.nobelprize.org/images/wittig-13311-portrait-mini-2x.jpg
254,Paul,Berg,30/6/1926,1926,Jun,30,0000-00-00,,,,,93,>80,54,51-60,USA,US,USA,USA,New York NY,,,,male,1980,chemistry,1,,,2,1/2,"""for his fundamental studies of the biochemistry of nucleic acids with particular regard to recombinant-DNA""",1977,<=10,Stanford University,Stanford CA,USA,USA,https://www.nobelprize.org/prizes/chemistry/1980/Berg,https://www.nobelprize.org/images/berg-13321-portrait-mini-2x.jpg
255,Walter,Gilbert,21/3/1932,1932,Mar,21,0000-00-00,,,,,87,>80,48,41-50,USA,US,USA,USA,Boston MA,,,,male,1980,chemistry,1,,,4,1/4,"""for their contributions concerning the determination of base sequences in nucleic acids""",1977,<=10,Harvard University Biological Laboratories,Cambridge MA,USA,USA,https://www.nobelprize.org/prizes/chemistry/1980/Gilbert,https://www.nobelprize.org/images/gilbert-13322-portrait-mini-2x.jpg
257,Kenichi,Fukui,4/10/1918,1918,Oct,4,9/1/1998,1998,Jan,9,80,,Deceased,63,61-70,Japan,JP,Japan,Japan,Nara,Japan,JP,Kyoto,male,1981,chemistry,1,,,2,1/2,"""for their theories developed independently concerning the course of chemical reactions""",1952,21-30,Kyoto University,Kyoto,Japan,Japan,https://www.nobelprize.org/prizes/chemistry/1981/Fukui,https://www.nobelprize.org/images/fukui-13332-portrait-mini-2x.jpg
